removed_feature,set,rep,rmse,accuracy,r2
winLen,Train,7,0.007833843136566505,0.46338774634767294,0.2124541935012937
winLen,Development,7,0.007864477441925187,0.4625106970206467,0.21219948015091006
winLen,Test,7,0.008088758516756186,0.411363816017173,0.16903492078006055
geneLen,Train,7,0.0076737685222943676,0.49594939632410645,0.24431035629591813
geneLen,Development,7,0.00772776517156679,0.4897214605410008,0.239350903431217
geneLen,Test,7,0.007878954685492387,0.4599855052216017,0.2115825309283066
none,Train,8,0.007634066441585468,0.511906324097347,0.2576852662739805
none,Development,8,0.007686555166828672,0.4751008381887244,0.2216668606379475
none,Test,8,0.0077123033807390525,0.4729062355584411,0.22199228832351126
gerp,Train,8,0.007626850632264973,0.513007898789971,0.2590878922920975
gerp,Development,8,0.007610046313798413,0.4895726832942946,0.2370841728963593
gerp,Test,8,0.007584038346722353,0.50133786634206,0.24765553210660007
mr,Train,8,0.007730107240253169,0.49104453855424834,0.23889031601399957
mr,Development,8,0.007722305903819582,0.4637125533197797,0.21440985327760165
mr,Test,8,0.007778988258148916,0.4571860839488919,0.20847994477394416
tau,Train,8,0.007741399470643223,0.49781338624120924,0.23666501610521484
tau,Development,8,0.007739312444909939,0.46686456271559545,0.21094589249288687
tau,Test,8,0.00777133658458624,0.46928404985206335,0.21003631025873426
SIFTsorghum,Train,8,0.007639477114452084,0.5078855610900852,0.2566326567516358
SIFTsorghum,Development,8,0.007717374548460759,0.46472664488820664,0.21541286643962387
SIFTsorghum,Test,8,0.00768956311495519,0.4766559101164266,0.22657354455090717
SIFTcounts,Train,8,0.008053513345103956,0.4171763792742584,0.173872697779761
SIFTcounts,Development,8,0.008119943482696098,0.3644358880864484,0.13142357435388596
SIFTcounts,Test,8,0.00808407864780679,0.38145040740803005,0.14517591237723326
frac,Train,8,0.007692211486778238,0.4988462364174633,0.24633448855388684
frac,Development,8,0.007618319807465906,0.48742659447480335,0.23542441679653425
frac,Test,8,0.007713459031894842,0.47296993991651254,0.22175910951035627
rho,Train,8,0.007942219633349179,0.4448188126710476,0.19654789026222497
rho,Development,8,0.007928259295177919,0.4153206524151661,0.17194779922561532
rho,Test,8,0.007983352059517498,0.40850823948097315,0.1663452003725383
Mpi,Train,8,0.007594528583658188,0.5174511414291771,0.26535445074023656
Mpi,Development,8,0.007592052488664719,0.49194071761242647,0.2406877106082561
Mpi,Test,8,0.007607488928135124,0.49361077386355445,0.2429956949094284
Mexp,Train,8,0.00762931773206731,0.509642417157727,0.2586084808433148
Mexp,Development,8,0.0076118498612822195,0.4872743028577173,0.23672251465902006
Mexp,Test,8,0.007670144589228571,0.48010804395587564,0.23047489440355762
Sexp,Train,8,0.007600436508897296,0.516433451223657,0.26421101725185037
Sexp,Development,8,0.007655934371325068,0.4782446660622899,0.2278557729573667
Sexp,Test,8,0.007633758658323054,0.48800277261346114,0.23775858339242617
winLen,Train,8,0.007764126335113556,0.48581663356880034,0.2321765057648667
winLen,Development,8,0.007800233474817589,0.446829195957895,0.19847471139265338
winLen,Test,8,0.007833560210507025,0.4454845034421901,0.19733548599033102
geneLen,Train,8,0.007698919110987653,0.4976096883189467,0.2450195197293159
geneLen,Development,8,0.007721048566141582,0.4641793773488632,0.21466565036486196
geneLen,Test,8,0.007663830752615639,0.4829084115664986,0.23174127366897446
none,Train,9,0.007598052346475813,0.5127332308584652,0.2603204778488143
none,Development,9,0.007777664704508001,0.466269554961837,0.21434580438941175
none,Test,9,0.007743446208828471,0.49435763857953446,0.24305147284407191
gerp,Train,9,0.007587415358872257,0.513385628346697,0.26239007519396895
gerp,Development,9,0.007769527610844789,0.4647568596766759,0.21598886765584058
gerp,Test,9,0.007797010586143803,0.4822939094899506,0.23254304811965087
mr,Train,9,0.007665148114692263,0.49937264036813594,0.24719909005940244
